Common Name;Abbreviation;SMILES;Function;Reference;PassFilters;SASA(O/N,max);Num(13O);Num(14O);Num(15O)
2-Butanone;MEK;CCC(=O)C;WSE;Nature Communications | (2024)15:302(DOI:10.1038/s41467-023-44615-y);1;90.254257;0.000000;0.000000;0.000000
2-methyl-1,3-dioxolane;2Me-DOL;CC1OCCO1;WSE;Electrochimica Acta 543 (2025) 147629(DOI: 10.1016/j.electacta.2025.147629);1;39.053855;0.000000;0.000000;0.000000
Bis(2-butoxyethyl)ether;DIGDBE;CCCCOCCOCCOCCCC;WSE;ACS Appl. Mater. Interfaces 2024, 16, 21, 27429?27438 (DOI:/10.1021/acsami.4c04178);1;17.680460;0.000000;0.961061;0.000000
hexyl methyl ether;HME;CCCCCCOC;WSE;Angew. Chem. Int. Ed. 2025, 64, e202504898 (DOI:10.1002/anie.202504898);1;11.109752;0.000000;0.000000;0.000000
methyl tert-butyl ether;MTBE;CC(C)(C)OC;WSE;Angew. Chem. Int. Ed. 2025, 64, e202506826 (DOI:10.1002/anie.202506826);1;13.734689;0.000000;0.000000;0.000000
1,4-oxathiane;OTA;C1CSCCO1;WSE;Journal of Energy Chemistry 113 (2026) 800?810 (DOI:10.1016/j.jechem.2025.09.073);1;40.657256;0.000000;0.000000;0.000000
Dimethylacetamide;DMA;CC(=O)N(C)C;CDE;J. Mater. Chem. A, 2023, 11, 25545-25554 (DOI: 10.1039/D3TA04565J);1;86.642728;1.000000;0.000000;0.000000
Dimethylformamide;DMF;CN(C)C=O;CDE;J. Am. Chem. Soc. 2012, 134, 18, 7952?7957 (DOI:10.1021/ja302178w);1;113.917930;0.020000;0.000000;0.000000
N,N-diethylformamide;DEF;CCN(CC)C=O;CDE;J. Am. Chem. Soc. 2025, 147, 31, 27802?27811(DOI:10.1021/jacs.5c06710);1;98.830315;0.248333;0.000000;0.000000
methyl-propyl carbonate;MPC;CCCOC(=O)OC;CDE;Journal of Power Sources 112 (2002) 191?198(DOI:10.1016/S0378-7753(02)00362-2);1;47.635879;3.000000;0.000000;0.000000
ethyl-propyl carbonate;EPC;CCCOC(=O)OCC;CDE;Journal of Power Sources 112 (2002) 191?198(DOI:10.1016/S0378-7753(02)00362-2);1;39.652030;3.000000;0.000000;0.000000
Ethyl butyrate;EB;CCCC(=O)OCC;CDE;M. C. Smart et al 2010 J. Electrochem. Soc. 157 A1361 (DOI:10.1149/1.3501236);1;51.050283;0.506586;0.000000;0.000000
gamma-Butyrolactone;GBL;O=C1CCCO1;CDE;Journal of Power Sources 240 (2013) 476e485 (DOI:10.1016/j.jpowsour.2013.04.063);1;129.425785;0.000000;0.000000;0.000000
Methyl formate;MF;COC=O;CDE;David S. Hall et al 2018 J. Electrochem. Soc. 165 A2365 (DOI:10.1149/2.1351810jes);1;108.672748;1.000000;0.000000;0.000000
Ethyl formate;EF;CCOC=O;CDE;David S. Hall et al 2018 J. Electrochem. Soc. 165 A2365 (DOI:10.1149/2.1351810jes);1;101.233360;1.000000;0.000000;0.000000
